City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
196,Port Moresby,PG,-9.4431,147.1797,84.04,65,99,20.29,overcast clouds,2023-01-19 02:12:08
197,Clyde River,CA,70.4692,-68.5914,-19.97,76,100,5.75,light snow,2023-01-19 02:17:02
198,Whitianga,NZ,-36.8333,175.7,69.64,80,81,3.29,broken clouds,2023-01-19 02:17:02
199,Lima,PE,-12.0432,-77.0282,73.9,78,0,8.05,clear sky,2023-01-19 02:16:30
200,Chichigalpa,NI,12.5776,-87.027,71.6,84,4,0.89,clear sky,2023-01-19 02:17:02
201,Peleduy,RU,59.6289,112.7406,-33.38,91,100,3.94,overcast clouds,2023-01-19 02:17:03
202,Umm Kaddadah,SD,13.6017,26.6876,60.55,22,48,13.04,scattered clouds,2023-01-19 02:17:03
203,Talnakh,RU,69.4865,88.3972,-28.39,81,87,3.6,overcast clouds,2023-01-19 02:12:46
204,Andenes,NO,69.3143,16.1194,30.92,64,100,11.5,overcast clouds,2023-01-19 02:17:04
205,Belmonte,BR,-15.8631,-38.8828,75.38,86,35,2.95,scattered clouds,2023-01-19 02:17:04
206,Mildura,AU,-34.2,142.15,70.07,42,0,17.02,clear sky,2023-01-19 02:17:04
